Time	Simple_Euler_X	Modified_Euler_X	Analytical_X
0	1	1	1
0.1	1	0.995	0.995004
0.2	0.99	0.98005	0.980067
0.3	0.97	0.955299	0.955336
0.4	0.9401	0.920996	0.921061
0.5	0.9005	0.877483	0.877583
0.6	0.851499	0.825194	0.825336
0.7	0.793493	0.764654	0.764842
0.8	0.726972	0.696467	0.696707
0.9	0.652516	0.621316	0.62161
1	0.57079	0.539951	0.540302
1.1	0.48254	0.453187	0.453596
1.2	0.388581	0.361891	0.362358
1.3	0.289797	0.266976	0.267499
1.4	0.187127	0.169392	0.169967
1.5	0.0815591	0.0701131	0.0707372
1.6	-0.0258801	-0.0298666	-0.0291995
1.7	-0.134135	-0.129548	-0.128844
1.8	-0.242131	-0.227933	-0.227202
1.9	-0.348785	-0.324039	-0.32329
2	-0.453019	-0.416905	-0.416147
2.1	-0.553764	-0.505602	-0.504846
2.2	-0.649979	-0.589243	-0.588501
2.3	-0.740657	-0.666991	-0.666276
2.4	-0.824835	-0.73807	-0.737394
2.5	-0.901606	-0.801767	-0.801144
2.6	-0.970129	-0.857447	-0.856889
2.7	-1.02964	-0.904553	-0.904072
2.8	-1.07944	-0.942613	-0.942222
2.9	-1.11895	-0.971247	-0.970958
3	-1.14767	-0.990168	-0.989992
3.1	-1.16519	-0.999188	-0.999135
3.2	-1.17124	-0.998216	-0.998295
3.3	-1.16564	-0.987262	-0.98748
3.4	-1.14832	-0.966435	-0.966798
3.5	-1.11935	-0.935944	-0.936457
3.6	-1.07889	-0.896093	-0.896758
3.7	-1.02724	-0.847281	-0.8481
3.8	-0.964806	-0.789997	-0.790968
3.9	-0.892096	-0.724812	-0.725932
4	-0.809738	-0.65238	-0.653644
4.1	-0.718459	-0.573424	-0.574824
4.2	-0.619083	-0.488733	-0.490261
4.3	-0.512522	-0.399155	-0.400799
4.4	-0.39977	-0.305586	-0.307333
4.5	-0.281892	-0.20896	-0.210796
4.6	-0.160018	-0.110246	-0.112153
4.7	-0.0353239	-0.0104283	-0.0123887
4.8	0.09097	0.0894934	0.087499
4.9	0.217617	0.18852	0.186512
5	0.343355	0.285662	0.283662
