x t u_exact u_numerical
0 0 0 0
0.1 0 0.309017 0.309017
0.2 0 0.587785 0.587785
0.3 0 0.809017 0.809017
0.4 0 0.951057 0.951057
0.5 0 1 1
0.6 0 0.951057 0.951057
0.7 0 0.809017 0.809017
0.8 0 0.587785 0.587785
0.9 0 0.309017 0.309017
1 0 0 1.22465e-16

0 0.0005 0 0
0.1 0.0005 0.307496 0.307505
0.2 0.0005 0.584892 0.584908
0.3 0.0005 0.805034 0.805057
0.4 0.0005 0.946375 0.946402
0.5 0.0005 0.995077 0.995106
0.6 0.0005 0.946375 0.946402
0.7 0.0005 0.805034 0.805057
0.8 0.0005 0.584892 0.584908
0.9 0.0005 0.307496 0.307505
1 0.0005 0 0

0 0.001 0 0
0.1 0.001 0.305982 0.306
0.2 0.001 0.582013 0.582046
0.3 0.001 0.801072 0.801117
0.4 0.001 0.941716 0.94177
0.5 0.001 0.990179 0.990235
0.6 0.001 0.941716 0.94177
0.7 0.001 0.801072 0.801117
0.8 0.001 0.582013 0.582046
0.9 0.001 0.305982 0.306
1 0.001 0 0

0 0.0015 0 0
0.1 0.0015 0.304476 0.304502
0.2 0.0015 0.579148 0.579197
0.3 0.0015 0.797128 0.797196
0.4 0.0015 0.93708 0.93716
0.5 0.0015 0.985305 0.985389
0.6 0.0015 0.93708 0.93716
0.7 0.0015 0.797128 0.797196
0.8 0.0015 0.579148 0.579197
0.9 0.0015 0.304476 0.304502
1 0.0015 0 0

0 0.002 0 0
0.1 0.002 0.302977 0.303012
0.2 0.002 0.576297 0.576362
0.3 0.002 0.793204 0.793294
0.4 0.002 0.932467 0.932574
0.5 0.002 0.980454 0.980566
0.6 0.002 0.932467 0.932574
0.7 0.002 0.793204 0.793294
0.8 0.002 0.576297 0.576362
0.9 0.002 0.302977 0.303012
1 0.002 0 0

0 0.0025 0 0
0.1 0.0025 0.301486 0.301528
0.2 0.0025 0.57346 0.573541
0.3 0.0025 0.7893 0.789412
0.4 0.0025 0.927877 0.928009
0.5 0.0025 0.975628 0.975767
0.6 0.0025 0.927877 0.928009
0.7 0.0025 0.7893 0.789412
0.8 0.0025 0.57346 0.573541
0.9 0.0025 0.301486 0.301528
1 0.0025 0 0

0 0.003 0 0
0.1 0.003 0.300001 0.300053
0.2 0.003 0.570637 0.570734
0.3 0.003 0.785414 0.785548
0.4 0.003 0.92331 0.923467
0.5 0.003 0.970825 0.970991
0.6 0.003 0.92331 0.923467
0.7 0.003 0.785414 0.785548
0.8 0.003 0.570637 0.570734
0.9 0.003 0.300001 0.300053
1 0.003 0 0

0 0.0035 0 0
0.1 0.0035 0.298525 0.298584
0.2 0.0035 0.567828 0.567941
0.3 0.0035 0.781548 0.781703
0.4 0.0035 0.918765 0.918947
0.5 0.0035 0.966046 0.966239
0.6 0.0035 0.918765 0.918947
0.7 0.0035 0.781548 0.781703
0.8 0.0035 0.567828 0.567941
0.9 0.0035 0.298525 0.298584
1 0.0035 0 0

0 0.004 0 0
0.1 0.004 0.297055 0.297123
0.2 0.004 0.565032 0.565161
0.3 0.004 0.777701 0.777877
0.4 0.004 0.914242 0.91445
0.5 0.004 0.961291 0.961509
0.6 0.004 0.914242 0.91445
0.7 0.004 0.777701 0.777877
0.8 0.004 0.565032 0.565161
0.9 0.004 0.297055 0.297123
1 0.004 0 0

0 0.0045 0 0
0.1 0.0045 0.295593 0.295669
0.2 0.0045 0.562251 0.562395
0.3 0.0045 0.773872 0.77407
0.4 0.0045 0.909741 0.909974
0.5 0.0045 0.956559 0.956803
0.6 0.0045 0.909741 0.909974
0.7 0.0045 0.773872 0.77407
0.8 0.0045 0.562251 0.562395
0.9 0.0045 0.295593 0.295669
1 0.0045 0 0

0 0.005 0 0
0.1 0.005 0.294138 0.294221
